Time_Start,Time_End,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
2024-01-16 08:46:02,2024-01-16 09:00:57,0.00871130856363637,0.004830947545454545,2.4711594545454533e-05,5.763063351515152e-07,0.0,0.0,0.0,0.0
2024-01-16 09:01:08,2024-01-16 09:15:54,0.008444961586419754,0.004625469432098766,2.262060401234569e-05,4.917219820987653e-07,0.0,0.0,0.0,0.0
2024-01-16 09:16:05,2024-01-16 09:30:53,0.008607742018518522,0.004751478179012345,2.3338199382716035e-05,4.771271037037038e-07,0.0,0.0,0.0,0.0
2024-01-16 09:31:04,2024-01-16 09:45:52,0.008636525588235293,0.004793330032679737,2.860484816993465e-05,4.932196248366016e-07,0.0,0.0,0.0,0.0
2024-01-16 09:46:04,2024-01-16 10:00:59,0.008386219885350318,0.004623945165605097,3.089039159235669e-05,4.864493312101914e-07,0.0,0.0,0.0,0.0
2024-01-16 10:01:02,2024-01-16 10:15:59,0.00835449710559006,0.004567061391304349,3.010214900621119e-05,5.441418012422363e-07,0.0,0.0,0.0,0.0
2024-01-16 10:16:10,2024-01-16 10:30:51,0.008604764710691826,0.004729591484276729,2.6362659622641507e-05,5.881619943396228e-07,0.0,0.0,0.0,0.0
2024-01-16 10:31:02,2024-01-16 10:45:55,0.008818013438271603,0.004914883111111113,2.6151447407407398e-05,6.481891790123457e-07,0.0,0.0,0.0,0.0
2024-01-16 10:46:07,2024-01-16 11:00:57,0.008845560217391302,0.004916544602484472,2.4101465652173913e-05,6.419340428571428e-07,0.0,0.0,0.0,0.0
2024-01-16 11:01:00,2024-01-16 11:15:58,0.008933539689873414,0.004935398392405064,2.124889512658228e-05,6.44215012025316e-07,0.0,0.0,0.0,0.0
2024-01-16 11:16:01,2024-01-16 11:30:52,0.008514811763975153,0.00463920649068323,2.1548772732919262e-05,5.362275329192543e-07,0.0,0.0,0.0,0.0
2024-01-16 11:31:03,2024-01-16 11:45:59,0.008274150125786164,0.00445098944654088,2.3476114465408804e-05,5.231443276729559e-07,0.0,0.0,0.0,0.0
2024-01-16 11:46:10,2024-01-16 12:00:49,0.008778748823899372,0.0048477972327044035,2.0403547672955968e-05,6.089178993710689e-07,0.0,0.0,0.0,0.0
2024-01-16 12:01:00,2024-01-16 12:15:51,0.008841216012578616,0.004858856949685536,1.8047718993710677e-05,5.829821238993712e-07,0.0,0.0,0.0,0.0
2024-01-16 12:16:02,2024-01-16 12:30:49,0.008808245025157235,0.004810972874213838,2.2432857169811325e-05,6.989259050314468e-07,0.0,0.0,0.0,0.0
2024-01-16 12:31:01,2024-01-16 12:45:57,0.008749667062499997,0.004791436325,3.249230499999998e-05,8.690892843750003e-07,0.0,0.0,0.0,0.0
2024-01-16 12:46:00,2024-01-16 13:00:53,0.008767440180124224,0.004795890770186333,4.161445248447204e-05,1.0544732496894415e-06,0.0,0.0,0.0,0.0
2024-01-16 13:01:04,2024-01-16 13:15:57,0.008543524829113925,0.004677983341772153,5.221891905063294e-05,1.2917103481012659e-06,0.0,0.0,0.0,0.0
2024-01-16 13:16:00,2024-01-16 13:30:55,0.008636320037499999,0.004706927712499999,5.8352017874999996e-05,1.4066607124999995e-06,0.0,0.0,0.0,0.0
2024-01-16 13:31:07,2024-01-16 13:45:57,0.008874646552795032,0.004924952236024846,6.487375012422364e-05,1.6849002795031062e-06,0.0,0.0,0.0,0.0
2024-01-16 13:46:00,2024-01-16 14:00:58,0.008843187278481011,0.004898188829113923,6.729683025316457e-05,1.7217196329113924e-06,0.0,0.0,0.0,0.0
2024-01-16 14:01:01,2024-01-16 14:15:59,0.008816831743750001,0.004874235612499998,6.562514900000001e-05,1.69083216875e-06,0.0,0.0,0.0,0.0
2024-01-16 14:16:01,2024-01-16 14:30:58,0.008939805598765428,0.00485335174691358,4.239823902469135e-05,3.7429005555555556e-06,0.0,0.0,0.0,0.0
2024-01-16 14:31:00,2024-01-16 14:45:58,0.00837032451851852,0.004546487802469137,5.4681070987654306e-05,1.2202476820987648e-06,0.0,0.0,0.0,0.0
2024-01-16 14:46:01,2024-01-16 15:00:59,0.008484893745341613,0.0046400855590062115,5.112632546583853e-05,1.1819022155279505e-06,0.0,0.0,0.0,0.0
2024-01-16 15:01:02,2024-01-16 15:15:53,0.009023088347826086,0.005046628434782606,4.677959304347826e-05,1.3598116894409938e-06,0.0,0.0,0.0,0.0
2024-01-16 15:16:04,2024-01-16 15:30:58,0.009185350540372674,0.005194325304347825,4.5363386459627326e-05,1.4000514720496894e-06,0.0,0.0,0.0,0.0
2024-01-16 15:31:01,2024-01-16 15:45:55,0.009146081840490797,0.005154827214723928,4.4995370306748487e-05,1.2136800999999997e-06,0.0,0.0,0.0,0.0
2024-01-16 15:46:07,2024-01-16 16:00:55,0.00869802925925926,0.004682682061728394,4.596784907407406e-05,1.5728266660493824e-06,0.0,0.0,0.0,0.0
2024-01-16 16:01:06,2024-01-16 16:15:51,0.008170018037735854,0.004126455238993711,4.574139679245284e-05,1.5510294465408804e-06,0.0,0.0,0.0,0.0
2024-01-16 16:16:03,2024-01-16 16:30:51,0.00821897859876543,0.004195326123456788,4.410127586419751e-05,1.338220265432099e-06,0.0,0.0,0.0,0.0
2024-01-16 16:31:02,2024-01-16 16:45:58,0.008292826786585366,0.004250213737804877,3.9782389573170726e-05,1.3243043323170737e-06,0.0,0.0,0.0,0.0
2024-01-16 16:46:01,2024-01-16 17:00:53,0.00840003339375,0.004376517868750001,2.07470919375e-05,8.440877537500003e-07,0.0,0.0,0.0,0.0
2024-01-16 17:01:05,2024-01-16 17:15:53,0.00843937695597484,0.004360095660377362,1.4349753584905667e-05,7.742126471698111e-07,0.0,0.0,0.0,0.0
2024-01-16 17:16:05,2024-01-16 17:29:04,0.008572497865248224,0.0043908415106382985,9.819218021276597e-06,7.33911739716312e-07,0.0,0.0,0.0,0.0
