Description for 1011.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 13910016
Blocks: 849

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block  140: 0140_PM1000_20251011_111803_2025-10-11_13-46-32.mat.csv | samples=16384 | start=2025/10/11 13:46:30.133829000 | end=2025/10/11 13:46:30.301590920
  Block  141: 0141_PM1000_20251011_111803_2025-10-11_13-47-21.mat.csv | samples=16384 | start=2025/10/11 13:47:19.199902000 | end=2025/10/11 13:47:19.367663920
  Block  142: 0142_PM1000_20251011_111803_2025-10-11_13-48-11.mat.csv | samples=16384 | start=2025/10/11 13:48:08.451837000 | end=2025/10/11 13:48:08.619598920
  Block  143: 0143_PM1000_20251011_111803_2025-10-11_13-49-00.mat.csv | samples=16384 | start=2025/10/11 13:48:57.499200000 | end=2025/10/11 13:48:57.666961920
  Block  144: 0144_PM1000_20251011_111803_2025-10-11_13-49-49.mat.csv | samples=16384 | start=2025/10/11 13:49:46.692482000 | end=2025/10/11 13:49:46.860243920
  Block  145: 0145_PM1000_20251011_111803_2025-10-11_13-50-38.mat.csv | samples=16384 | start=2025/10/11 13:50:35.778374000 | end=2025/10/11 13:50:35.946135920
  Block  146: 0146_PM1000_20251011_111803_2025-10-11_13-51-26.mat.csv | samples=16384 | start=2025/10/11 13:51:24.463616000 | end=2025/10/11 13:51:24.631377920
  Block  147: 0147_PM1000_20251011_111803_2025-10-11_13-52-15.mat.csv | samples=16384 | start=2025/10/11 13:52:13.307274000 | end=2025/10/11 13:52:13.475035920
  Block  148: 0148_PM1000_20251011_111803_2025-10-11_13-53-04.mat.csv | samples=16384 | start=2025/10/11 13:53:02.257913000 | end=2025/10/11 13:53:02.425674920
  Block  149: 0149_PM1000_20251011_111803_2025-10-11_13-53-53.mat.csv | samples=16384 | start=2025/10/11 13:53:51.238404000 | end=2025/10/11 13:53:51.406165920
  Block  150: 0150_PM1000_20251011_111803_2025-10-11_13-54-42.mat.csv | samples=16384 | start=2025/10/11 13:54:40.242796000 | end=2025/10/11 13:54:40.410557920
  Block  151: 0151_PM1000_20251011_111803_2025-10-11_13-55-31.mat.csv | samples=16384 | start=2025/10/11 13:55:29.109376000 | end=2025/10/11 13:55:29.277137920
  Block  152: 0152_PM1000_20251011_111803_2025-10-11_13-56-20.mat.csv | samples=16384 | start=2025/10/11 13:56:18.117245000 | end=2025/10/11 13:56:18.285006920
  Block  153: 0153_PM1000_20251011_111803_2025-10-11_13-58-10.mat.csv | samples=16384 | start=2025/10/11 13:57:07.064373000 | end=2025/10/11 13:57:07.232134920
